order_id,customer_id,order_date,product_id,product_name,category,quantity,unit_price,total_amount,payment_method,shipping_country,customer_email,order_status,processing_time_hours
ORD046,CUST3344,2024-07-06,PROD445,Laptop Stand,Electronics,1,55.00,55.00,bank_transfer,France,pierre.dubois@email.com,completed,26
ORD047,CUST8934,2024-07-10,PROD789,Ergonomic Mouse,Electronics,2,39.99,79.98,credit_card,Spain,carlos.martin@email.com,completed,22
ORD048,CUST9102,2024-07-14,PROD901,Notebook Set,Stationery,3,8.99,26.97,paypal,Spain,laura.sanchez@email.com,completed,16
ORD049,CUST5632,2024-07-18,PROD189,Office Chair,Furniture,1,189.50,189.50,credit_card,Italy,giuseppe.rossi@email.com,completed,68
ORD050,CUST1523,2024-07-22,PROD678,Mechanical Keyboard,Electronics,1,129.99,129.99,debit_card,Spain,juan.garcia@email.com,completed,24
ORD051,CUST2891,2024-07-26,PROD312,USB-C Cable,Electronics,6,12.99,77.94,paypal,Spain,maria.lopez@email.com,completed,18
ORD052,CUST7821,2024-07-30,PROD567,Desk Organizer,Stationery,2,24.99,49.98,credit_card,Germany,hans.mueller@email.com,completed,20
ORD053,CUST4521,2024-08-04,PROD089,Desk Lamp,Furniture,1,45.00,45.00,debit_card,Portugal,ana.silva@email.com,completed,32
ORD054,CUST3344,2024-08-08,PROD245,Wireless Mouse,Electronics,1,29.99,29.99,bank_transfer,France,pierre.dubois@email.com,completed,28
ORD055,CUST8934,2024-08-12,PROD501,Standing Desk,Furniture,1,399.99,399.99,credit_card,Spain,carlos.martin@email.com,pending,0
ORD056,CUST9102,2024-08-16,PROD445,Laptop Stand,Electronics,2,55.00,110.00,paypal,Spain,laura.sanchez@email.com,completed,26
ORD057,CUST5632,2024-08-20,PROD789,Ergonomic Mouse,Electronics,1,39.99,39.99,credit_card,Italy,giuseppe.rossi@email.com,completed,24
ORD058,CUST1523,2024-08-24,PROD901,Notebook Set,Stationery,4,8.99,35.96,debit_card,Spain,juan.garcia@email.com,completed,14
ORD059,CUST2891,2024-08-28,PROD189,Office Chair,Furniture,1,189.50,189.50,paypal,Spain,maria.lopez@email.com,completed,60
ORD060,CUST7821,2024-09-02,PROD678,Mechanical Keyboard,Electronics,1,129.99,129.99,credit_card,Germany,hans.mueller@email.com,completed,22
ORD061,,2024-09-06,PROD312,USB-C Cable,Electronics,8,12.99,103.92,debit_card,,,completed,16
ORD062,CUST4521,2024-09-10,PROD567,Desk Organizer,Stationery,1,24.99,24.99,credit_card,Portugal,ana.silva@email.com,completed,18
ORD063,CUST3344,2024-09-14,PROD089,Desk Lamp,Furniture,2,45.00,90.00,bank_transfer,France,pierre.dubois@email.com,completed,36
ORD064,CUST8934,2024-09-18,PROD245,Wireless Mouse,Electronics,3,29.99,89.97,paypal,Spain,carlos.martin@email.com,completed,24
ORD065,CUST9102,2024-09-22,PROD501,Standing Desk,Furniture,1,399.99,399.99,credit_card,Spain,laura.sanchez@email.com,completed,76
ORD066,CUST5632,2024-09-26,PROD445,Laptop Stand,Electronics,1,55.00,55.00,debit_card,Italy,giuseppe.rossi@email.com,completed,28
ORD067,CUST1523,2024-09-30,PROD789,Ergonomic Mouse,Electronics,2,39.99,79.98,credit_card,Spain,juan.garcia@email.com,completed,22
ORD068,CUST2891,2024-10-05,PROD901,Notebook Set,Stationery,3,8.99,26.97,paypal,Spain,maria.lopez@email.com,completed,16
ORD069,CUST7821,2024-10-09,PROD189,Office Chair,Furniture,1,189.50,189.50,credit_card,Germany,hans.mueller@email.com,completed,64
ORD070,CUST4521,2024-10-13,PROD678,Mechanical Keyboard,Electronics,1,129.99,129.99,debit_card,Portugal,ana.silva@email.com,completed,26
ORD071,CUST3344,2024-10-17,PROD312,USB-C Cable,Electronics,5,12.99,64.95,bank_transfer,France,pierre.dubois@email.com,completed,18
ORD072,CUST8934,2024-10-21,PROD567,Desk Organizer,Stationery,2,24.99,49.98,credit_card,Spain,carlos.martin@email.com,completed,20
ORD073,CUST9102,2024-10-25,PROD089,Desk Lamp,Furniture,1,45.00,45.00,paypal,Spain,laura.sanchez@email.com,completed,34
ORD074,CUST5632,2024-10-29,PROD245,Wireless Mouse,Electronics,1,29.99,29.99,credit_card,Italy,giuseppe.rossi@email.com,completed,22
ORD075,CUST1523,2024-11-03,PROD501,Standing Desk,Furniture,1,399.99,399.99,debit_card,Spain,juan.garcia@email.com,completed,70
ORD076,CUST2891,2024-11-07,PROD445,Laptop Stand,Electronics,2,55.00,110.00,paypal,Spain,maria.lopez@email.com,completed,28
ORD077,CUST7821,2024-11-11,PROD789,Ergonomic Mouse,Electronics,1,39.99,39.99,credit_card,Germany,hans.mueller@email.com,completed,24
ORD078,CUST4521,2024-11-15,PROD901,Notebook Set,Stationery,5,8.99,44.95,debit_card,Portugal,ana.silva@email.com,completed,14
ORD079,CUST3344,2024-11-19,PROD189,Office Chair,Furniture,1,189.50,189.50,bank_transfer,France,pierre.dubois@email.com,shipped,36
ORD080,CUST8934,2024-11-23,PROD678,Mechanical Keyboard,Electronics,1,129.99,129.99,credit_card,Spain,carlos.martin@email.com,pending,0
ORD081,CUST9102,2024-11-26,PROD312,USB-C Cable,Electronics,4,12.99,51.96,paypal,Spain,laura.sanchez@email.com,completed,18
ORD082,CUST5632,2024-11-29,PROD567,Desk Organizer,Stationery,1,24.99,24.99,credit_card,Italy,giuseppe.rossi@email.com,completed,20
ORD083,CUST1523,2024-12-02,PROD089,Desk Lamp,Furniture,2,45.00,90.00,debit_card,Spain,juan.garcia@email.com,completed,32
ORD084,CUST2891,2024-12-05,PROD245,Wireless Mouse,Electronics,1,29.99,29.99,paypal,Spain,maria.lopez@email.com,completed,24
ORD085,CUST7821,2024-12-08,PROD501,Standing Desk,Furniture,1,399.99,399.99,credit_card,Germany,hans.mueller@email.com,completed,72
ORD086,CUST4521,2024-12-11,PROD445,Laptop Stand,Electronics,2,55.00,110.00,debit_card,Portugal,ana.silva@email.com,completed,26
ORD087,CUST3344,2024-12-14,PROD789,Ergonomic Mouse,Electronics,1,39.99,39.99,bank_transfer,France,pierre.dubois@email.com,completed,22
ORD088,CUST8934,2024-01-08,PROD901,Notebook Set,Stationery,3,8.99,26.97,credit_card,Spain,carlos.martin@email.com,completed,16
ORD089,CUST9102,2024-01-11,PROD189,Office Chair,Furniture,1,189.50,189.50,paypal,Spain,laura.sanchez@email.com,completed,64
ORD090,CUST5632,2024-01-16,PROD678,Mechanical Keyboard,Electronics,1,129.99,129.99,credit_card,Italy,giuseppe.rossi@email.com,completed,28
ORD091,CUST1523,2024-01-20,PROD312,USB-C Cable,Electronics,6,12.99,77.94,debit_card,Spain,juan.garcia@email.com,completed,18
ORD092,CUST2891,2024-01-24,PROD567,Desk Organizer,Stationery,2,24.99,49.98,paypal,Spain,maria.lopez@email.com,completed,20
ORD093,CUST7821,2024-01-28,PROD089,Desk Lamp,Furniture,1,45.00,45.00,credit_card,Germany,hans.mueller@email.com,completed,36
ORD094,CUST4521,2024-02-03,PROD245,Wireless Mouse,Electronics,3,29.99,89.97,debit_card,Portugal,ana.silva@email.com,completed,24
ORD095,CUST3344,2024-02-07,PROD501,Standing Desk,Furniture,1,399.99,399.99,bank_transfer,France,pierre.dubois@email.com,completed,80
ORD096,CUST8934,2024-02-10,PROD445,Laptop Stand,Electronics,1,55.00,55.00,credit_card,Spain,carlos.martin@email.com,completed,26
ORD097,CUST9102,2024-02-14,PROD789,Ergonomic Mouse,Electronics,2,39.99,79.98,paypal,Spain,laura.sanchez@email.com,completed,22
ORD098,CUST5632,2024-02-17,PROD901,Notebook Set,Stationery,4,8.99,35.96,credit_card,Italy,giuseppe.rossi@email.com,completed,14
ORD099,CUST1523,2024-02-21,PROD189,Office Chair,Furniture,1,189.50,189.50,debit_card,Spain,juan.garcia@email.com,completed,68
ORD100,CUST2891,2024-02-26,PROD678,Mechanical Keyboard,Electronics,1,129.99,129.99,paypal,Spain,maria.lopez@email.com,completed,24
ORD101,,2024-03-01,PROD312,USB-C Cable,Electronics,5,12.99,64.95,credit_card,Belgium,,completed,18
ORD102,CUST7821,2024-03-05,PROD567,Desk Organizer,Stationery,1,24.99,24.99,debit_card,Germany,hans.mueller@email.com,completed,20
ORD103,CUST4521,2024-03-09,PROD089,Desk Lamp,Furniture,2,45.00,90.00,credit_card,Portugal,ana.silva@email.com,completed,34
ORD104,CUST3344,2024-03-13,PROD245,Wireless Mouse,Electronics,1,29.99,29.99,bank_transfer,France,pierre.dubois@email.com,completed,22
ORD105,CUST8934,2024-03-17,PROD501,Standing Desk,Furniture,1,399.99,399.99,paypal,Spain,carlos.martin@email.com,completed,76
ORD106,CUST9102,2024-03-21,PROD445,Laptop Stand,Electronics,2,55.00,110.00,credit_card,Spain,laura.sanchez@email.com,completed,28
ORD107,CUST5632,2024-03-25,PROD789,Ergonomic Mouse,Electronics,1,39.99,39.99,debit_card,Italy,giuseppe.rossi@email.com,completed,24
ORD108,CUST1523,2024-03-29,PROD901,Notebook Set,Stationery,5,8.99,44.95,credit_card,Spain,juan.garcia@email.com,completed,16
ORD109,CUST2891,2024-04-03,PROD189,Office Chair,Furniture,1,189.50,189.50,paypal,Spain,maria.lopez@email.com,completed,60
ORD110,CUST7821,2024-04-07,PROD678,Mechanical Keyboard,Electronics,1,129.99,129.99,credit_card,Germany,hans.mueller@email.com,completed,26
ORD111,CUST4521,2024-04-11,PROD312,USB-C Cable,Electronics,8,12.99,103.92,debit_card,Portugal,ana.silva@email.com,completed,18
ORD112,CUST3344,2024-04-15,PROD567,Desk Organizer,Stationery,2,24.99,49.98,bank_transfer,France,pierre.dubois@email.com,completed,20
ORD113,CUST8934,2024-04-19,PROD089,Desk Lamp,Furniture,1,45.00,45.00,credit_card,Spain,carlos.martin@email.com,completed,32
ORD114,CUST9102,2024-04-23,PROD245,Wireless Mouse,Electronics,2,29.99,59.98,paypal,Spain,laura.sanchez@email.com,completed,24
ORD115,CUST5632,2024-04-27,PROD501,Standing Desk,Furniture,1,399.99,399.99,debit_card,Italy,giuseppe.rossi@email.com,shipped,48
ORD116,CUST1523,2024-05-02,PROD445,Laptop Stand,Electronics,1,55.00,55.00,credit_card,Spain,juan.garcia@email.com,completed,26
ORD117,CUST2891,2024-05-06,PROD789,Ergonomic Mouse,Electronics,2,39.99,79.98,paypal,Spain,maria.lopez@email.com,completed,22
ORD118,CUST7821,2024-05-10,PROD901,Notebook Set,Stationery,3,8.99,26.97,credit_card,Germany,hans.mueller@email.com,completed,14
ORD119,CUST4521,2024-05-14,PROD189,Office Chair,Furniture,1,189.50,189.50,debit_card,Portugal,ana.silva@email.com,completed,64
ORD120,CUST3344,2024-05-18,PROD678,Mechanical Keyboard,Electronics,1,129.99,129.99,bank_transfer,France,pierre.dubois@email.com,completed,28
ORD121,CUST8934,2024-05-22,PROD312,USB-C Cable,Electronics,7,12.99,90.93,credit_card,Spain,carlos.martin@email.com,completed,18
ORD122,CUST9102,2024-05-26,PROD567,Desk Organizer,Stationery,1,24.99,24.99,paypal,Spain,laura.sanchez@email.com,completed,20
ORD123,CUST5632,2024-05-30,PROD089,Desk Lamp,Furniture,2,45.00,90.00,credit_card,Italy,giuseppe.rossi@email.com,completed,36
ORD124,CUST1523,2024-06-04,PROD245,Wireless Mouse,Electronics,1,29.99,29.99,debit_card,Spain,juan.garcia@email.com,completed,22
ORD125,CUST2891,2024-06-08,PROD501,Standing Desk,Furniture,1,399.99,399.99,paypal,Spain,maria.lopez@email.com,completed,72
ORD126,CUST7821,2024-06-12,PROD445,Laptop Stand,Electronics,2,55.00,110.00,credit_card,Germany,hans.mueller@email.com,completed,28
ORD127,,2024-06-16,PROD789,Ergonomic Mouse,Electronics,1,39.99,39.99,debit_card,Netherlands,,completed,24
ORD128,CUST4521,2024-06-20,PROD901,Notebook Set,Stationery,4,8.99,35.96,credit_card,Portugal,ana.silva@email.com,completed,16
ORD129,CUST3344,2024-06-24,PROD189,Office Chair,Furniture,1,189.50,189.50,bank_transfer,France,pierre.dubois@email.com,completed,68
ORD130,CUST8934,2024-06-28,PROD678,Mechanical Keyboard,Electronics,1,129.99,129.99,paypal,Spain,carlos.martin@email.com,completed,26
ORD131,CUST9102,2024-07-03,PROD312,USB-C Cable,Electronics,6,12.99,77.94,credit_card,Spain,laura.sanchez@email.com,completed,18
ORD132,CUST5632,2024-07-07,PROD567,Desk Organizer,Stationery,2,24.99,49.98,debit_card,Italy,giuseppe.rossi@email.com,completed,20
ORD133,CUST1523,2024-07-11,PROD089,Desk Lamp,Furniture,1,45.00,45.00,credit_card,Spain,juan.garcia@email.com,completed,34
ORD134,CUST2891,2024-07-15,PROD245,Wireless Mouse,Electronics,3,29.99,89.97,paypal,Spain,maria.lopez@email.com,completed,24
ORD135,CUST7821,2024-07-19,PROD501,Standing Desk,Furniture,1,399.99,399.99,credit_card,Germany,hans.mueller@email.com,completed,80
ORD136,CUST4521,2024-07-23,PROD445,Laptop Stand,Electronics,1,55.00,55.00,debit_card,Portugal,ana.silva@email.com,completed,26
ORD137,CUST3344,2024-07-27,PROD789,Ergonomic Mouse,Electronics,2,39.99,79.98,bank_transfer,France,pierre.dubois@email.com,completed,22
ORD138,CUST8934,2024-07-31,PROD901,Notebook Set,Stationery,5,8.99,44.95,credit_card,Spain,carlos.martin@email.com,completed,14
ORD139,CUST9102,2024-08-05,PROD189,Office Chair,Furniture,1,189.50,189.50,paypal,Spain,laura.sanchez@email.com,completed,64
ORD140,CUST5632,2024-08-09,PROD678,Mechanical Keyboard,Electronics,1,129.99,129.99,credit_card,Italy,giuseppe.rossi@email.com,completed,28
ORD141,CUST1523,2024-08-13,PROD312,USB-C Cable,Electronics,9,12.99,116.91,debit_card,Spain,juan.garcia@email.com,completed,18
ORD142,CUST2891,2024-08-17,PROD567,Desk Organizer,Stationery,1,24.99,24.99,paypal,Spain,maria.lopez@email.com,completed,20
ORD143,CUST7821,2024-08-21,PROD089,Desk Lamp,Furniture,2,45.00,90.00,credit_card,Germany,hans.mueller@email.com,completed,36
ORD144,CUST4521,2024-08-25,PROD245,Wireless Mouse,Electronics,1,29.99,29.99,debit_card,Portugal,ana.silva@email.com,completed,22
ORD145,CUST3344,2024-08-29,PROD501,Standing Desk,Furniture,1,399.99,399.99,bank_transfer,France,pierre.dubois@email.com,pending,0
ORD146,CUST8934,2024-09-03,PROD445,Laptop Stand,Electronics,2,55.00,110.00,credit_card,Spain,carlos.martin@email.com,completed,28
ORD147,CUST9102,2024-09-07,PROD789,Ergonomic Mouse,Electronics,1,39.99,39.99,paypal,Spain,laura.sanchez@email.com,completed,24
ORD148,CUST5632,2024-09-11,PROD901,Notebook Set,Stationery,3,8.99,26.97,credit_card,Italy,giuseppe.rossi@email.com,completed,16
ORD149,CUST1523,2024-09-15,PROD189,Office Chair,Furniture,1,189.50,189.50,debit_card,Spain,juan.garcia@email.com,completed,68
ORD150,CUST2891,2024-09-19,PROD678,Mechanical Keyboard,Electronics,1,129.99,129.99,paypal,Spain,maria.lopez@email.com,completed,26
ORD151,,2024-09-23,PROD312,USB-C Cable,Electronics,5,12.99,64.95,credit_card,,,completed,18
ORD152,CUST7821,2024-09-27,PROD567,Desk Organizer,Stationery,2,24.99,49.98,debit_card,Germany,hans.mueller@email.com,completed,20
ORD153,CUST4521,2024-10-02,PROD089,Desk Lamp,Furniture,1,45.00,45.00,credit_card,Portugal,ana.silva@email.com,completed,32
ORD154,CUST3344,2024-10-06,PROD245,Wireless Mouse,Electronics,2,29.99,59.98,bank_transfer,France,pierre.dubois@email.com,completed,24
ORD155,CUST8934,2024-10-10,PROD501,Standing Desk,Furniture,1,399.99,399.99,paypal,Spain,carlos.martin@email.com,completed,76
ORD156,CUST9102,2024-10-14,PROD445,Laptop Stand,Electronics,1,55.00,55.00,credit_card,Spain,laura.sanchez@email.com,completed,28
ORD157,CUST5632,2024-10-18,PROD789,Ergonomic Mouse,Electronics,2,39.99,79.98,debit_card,Italy,giuseppe.rossi@email.com,completed,22
ORD158,CUST1523,2024-10-22,PROD901,Notebook Set,Stationery,4,8.99,35.96,credit_card,Spain,juan.garcia@email.com,completed,14
ORD159,CUST2891,2024-10-26,PROD189,Office Chair,Furniture,1,189.50,189.50,paypal,Spain,maria.lopez@email.com,completed,64
ORD160,CUST7821,2024-10-30,PROD678,Mechanical Keyboard,Electronics,1,129.99,129.99,credit_card,Germany,hans.mueller@email.com,completed,28
ORD161,CUST4521,2024-11-04,PROD312,USB-C Cable,Electronics,6,12.99,77.94,debit_card,Portugal,ana.silva@email.com,completed,18
ORD162,CUST3344,2024-11-08,PROD567,Desk Organizer,Stationery,1,24.99,24.99,bank_transfer,France,pierre.dubois@email.com,completed,20
ORD163,CUST8934,2024-11-12,PROD089,Desk Lamp,Furniture,2,45.00,90.00,credit_card,Spain,carlos.martin@email.com,completed,36
ORD164,CUST9102,2024-11-16,PROD245,Wireless Mouse,Electronics,1,29.99,29.99,paypal,Spain,laura.sanchez@email.com,completed,22
ORD165,CUST5632,2024-11-20,PROD501,Standing Desk,Furniture,1,399.99,399.99,credit_card,Italy,giuseppe.rossi@email.com,shipped,56
ORD166,CUST1523,2024-11-24,PROD445,Laptop Stand,Electronics,2,55.00,110.00,debit_card,Spain,juan.garcia@email.com,completed,28
ORD167,CUST2891,2024-11-28,PROD789,Ergonomic Mouse,Electronics,1,39.99,39.99,paypal,Spain,maria.lopez@email.com,completed,24
ORD168,CUST7821,2024-12-03,PROD901,Notebook Set,Stationery,3,8.99,26.97,credit_card,Germany,hans.mueller@email.com,completed,16
ORD169,CUST4521,2024-12-07,PROD189,Office Chair,Furniture,1,189.50,189.50,debit_card,Portugal,ana.silva@email.com,completed,68
ORD170,CUST3344,2024-12-10,PROD678,Mechanical Keyboard,Electronics,1,129.99,129.99,bank_transfer,France,pierre.dubois@email.com,completed,26
ORD171,CUST8934,2024-12-13,PROD312,USB-C Cable,Electronics,7,12.99,90.93,credit_card,Spain,carlos.martin@email.com,completed,18
ORD172,CUST9102,2024-12-16,PROD567,Desk Organizer,Stationery,2,24.99,49.98,paypal,Spain,laura.sanchez@email.com,completed,20
ORD173,CUST5632,2024-12-19,PROD089,Desk Lamp,Furniture,1,45.00,45.00,credit_card,Italy,giuseppe.rossi@email.com,completed,32
ORD174,CUST1523,2024-12-22,PROD245,Wireless Mouse,Electronics,3,29.99,89.97,debit_card,Spain,juan.garcia@email.com,completed,24
ORD175,CUST2891,2024-12-25,PROD501,Standing Desk,Furniture,1,399.99,399.99,paypal,Spain,maria.lopez@email.com,pending,0
ORD176,CUST7821,2024-12-28,PROD445,Laptop Stand,Electronics,1,55.00,55.00,credit_card,Germany,hans.mueller@email.com,completed,28
ORD177,CUST4521,2024-12-31,PROD789,Ergonomic Mouse,Electronics,2,39.99,79.98,debit_card,Portugal,ana.silva@email.com,completed,22
ORD178,,2024-01-30,PROD901,Notebook Set,Stationery,5,8.99,44.95,credit_card,Belgium,badformat@,completed,14
ORD179,CUST3344,2024-02-20,PROD189,Office Chair,Furniture,1,189.50,189.50,bank_transfer,France,pierre.dubois@email.com,cancelled,0
ORD180,CUST8934,2024-03-31,PROD245,Wireless Mouse,Electronics,2,29.99,59.98,credit_card,Spain,carlos.martin@email.com,completed,26
ORD181,CUST9102,2024-04-05,PROD678,Mechanical Keyboard,Electronics,1,129.99,129.99,paypal,Spain,laura.sanchez@email.com,completed,28
ORD182,CUST5632,2024-04-09,PROD312,USB-C Cable,Electronics,4,12.99,51.96,credit_card,Italy,giuseppe.rossi@email.com,completed,18
ORD183,CUST1523,2024-04-13,PROD567,Desk Organizer,Stationery,1,24.99,24.99,debit_card,Spain,juan.garcia@email.com,completed,20
ORD184,CUST2891,2024-04-17,PROD089,Desk Lamp,Furniture,2,45.00,90.00,paypal,Spain,maria.lopez@email.com,completed,34
ORD185,CUST7821,2024-04-21,PROD245,Wireless Mouse,Electronics,1,29.99,29.99,credit_card,Germany,hans.mueller@email.com,completed,22
ORD186,CUST4521,2024-04-25,PROD501,Standing Desk,Furniture,1,399.99,399.99,debit_card,Portugal,ana.silva@email.com,completed,72
ORD187,CUST3344,2024-04-29,PROD445,Laptop Stand,Electronics,2,55.00,110.00,bank_transfer,France,pierre.dubois@email.com,completed,26
ORD188,CUST8934,2024-05-04,PROD789,Ergonomic Mouse,Electronics,1,39.99,39.99,credit_card,Spain,carlos.martin@email.com,completed,24
ORD189,CUST9102,2024-05-08,PROD901,Notebook Set,Stationery,3,8.99,26.97,paypal,Spain,laura.sanchez@email.com,completed,16
ORD190,CUST5632,2024-05-12,PROD189,Office Chair,Furniture,1,189.50,189.50,credit_card,Italy,giuseppe.rossi@email.com,completed,64
ORD191,CUST1523,2024-05-16,PROD678,Mechanical Keyboard,Electronics,1,129.99,129.99,debit_card,Spain,juan.garcia@email.com,completed,26
ORD192,CUST2891,2024-05-20,PROD312,USB-C Cable,Electronics,7,12.99,90.93,paypal,Spain,maria.lopez@email.com,completed,18
ORD193,CUST7821,2024-05-24,PROD567,Desk Organizer,Stationery,2,24.99,49.98,credit_card,Germany,hans.mueller@email.com,completed,20
ORD194,CUST4521,2024-05-28,PROD089,Desk Lamp,Furniture,1,45.00,45.00,debit_card,Portugal,ana.silva@email.com,completed,32
ORD195,CUST3344,2024-06-02,PROD245,Wireless Mouse,Electronics,3,29.99,89.97,bank_transfer,France,pierre.dubois@email.com,completed,24
